timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759389052547,85,/cgi-bin/welcome.pl-3,200,OK,Thread Group 1-1,text,true,,1026,418,1,1,http://192.168.1.6:1080/cgi-bin/welcome.pl?signOff=true,84,0,27
1759389052635,82,/cgi-bin/nav.pl-6,200,OK,Thread Group 1-1,text,true,,1755,459,1,1,http://192.168.1.6:1080/cgi-bin/nav.pl?in=home,80,0,0
1759389052719,111,/cgi-bin/login.pl-51,200,OK,Thread Group 1-1,text,true,,960,674,1,1,http://192.168.1.6:1080/cgi-bin/login.pl,108,0,0
1759389052832,97,/cgi-bin/nav.pl-53,200,OK,Thread Group 1-1,text,true,,1749,673,1,1,http://192.168.1.6:1080/cgi-bin/nav.pl?page=menu&in=home,95,0,0
1759389052471,375,Login,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,,true,,5490,2224,1,1,null,367,81,27
1759389052930,83,/cgi-bin/welcome.pl-61,200,OK,Thread Group 1-1,text,true,,843,687,1,1,http://192.168.1.6:1080/cgi-bin/welcome.pl?page=search,81,0,0
1759389053014,96,/cgi-bin/nav.pl-62,200,OK,Thread Group 1-1,text,true,,1749,690,1,1,http://192.168.1.6:1080/cgi-bin/nav.pl?page=menu&in=flights,94,0,0
1759389053111,112,/cgi-bin/reservations.pl-63,200,OK,Thread Group 1-1,text,true,,4520,691,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl?page=welcome,108,0,0
1759389053224,98,/cgi-bin/reservations.pl-82,200,OK,Thread Group 1-1,text,true,,2705,1027,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl,95,0,0
1759389053323,103,/cgi-bin/reservations.pl-83,200,OK,Thread Group 1-1,text,true,,3070,921,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl,100,0,0
1759389053461,45,/cgi-bin/welcome.pl-3,200,OK,Thread Group 1-2,text,true,,1026,418,2,2,http://192.168.1.6:1080/cgi-bin/welcome.pl?signOff=true,42,0,1
1759389053427,109,/cgi-bin/reservations.pl-84,200,OK,Thread Group 1-1,text,true,,2958,1165,2,2,http://192.168.1.6:1080/cgi-bin/reservations.pl,106,0,0
1759389053507,97,/cgi-bin/nav.pl-6,200,OK,Thread Group 1-2,text,true,,1757,459,2,2,http://192.168.1.6:1080/cgi-bin/nav.pl?in=home,95,0,0
1759389053536,109,/cgi-bin/reservations.pl-86,200,OK,Thread Group 1-1,text,true,,4520,784,2,2,http://192.168.1.6:1080/cgi-bin/reservations.pl,106,0,0
1759389052930,710,FlightBooking,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,20365,5965,2,2,null,690,5,0
1759389053605,102,/cgi-bin/login.pl-51,200,OK,Thread Group 1-2,text,true,,877,673,2,2,http://192.168.1.6:1080/cgi-bin/login.pl,100,0,0
1759389053646,100,/cgi-bin/welcome.pl-87,200,OK,Thread Group 1-1,text,true,,1025,664,2,2,http://192.168.1.6:1080/cgi-bin/welcome.pl?signOff=1,98,0,0
1759389053708,97,/cgi-bin/nav.pl-53,200,OK,Thread Group 1-2,text,true,,1749,590,2,2,http://192.168.1.6:1080/cgi-bin/nav.pl?page=menu&in=home,94,0,0
1759389053460,341,Login,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-2,,true,,5409,2140,2,2,null,331,4,1
1759389053748,89,/cgi-bin/nav.pl-88,200,OK,Thread Group 1-1,text,true,,1757,456,2,2,http://192.168.1.6:1080/cgi-bin/nav.pl?in=home,87,0,0
1759389053645,189,SignOff_WebTours,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,2782,1120,2,2,null,185,3,0
1759389053806,90,/cgi-bin/welcome.pl-61,200,OK,Thread Group 1-2,text,true,,843,604,1,1,http://192.168.1.6:1080/cgi-bin/welcome.pl?page=search,88,0,0
1759389053897,98,/cgi-bin/nav.pl-62,200,OK,Thread Group 1-2,text,true,,1749,607,1,1,http://192.168.1.6:1080/cgi-bin/nav.pl?page=menu&in=flights,96,0,0
1759389053996,106,/cgi-bin/reservations.pl-63,200,OK,Thread Group 1-2,text,true,,4520,608,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl?page=welcome,103,0,0
1759389054103,99,/cgi-bin/reservations.pl-82,200,OK,Thread Group 1-2,text,true,,2705,944,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl,96,0,0
1759389054203,94,/cgi-bin/reservations.pl-83,200,OK,Thread Group 1-2,text,true,,3007,838,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl,90,0,0
1759389054298,93,/cgi-bin/reservations.pl-84,200,OK,Thread Group 1-2,text,true,,2874,1080,1,1,http://192.168.1.6:1080/cgi-bin/reservations.pl,90,0,0
1759389054446,43,/cgi-bin/welcome.pl-3,200,OK,Thread Group 1-3,text,true,,1026,418,2,2,http://192.168.1.6:1080/cgi-bin/welcome.pl?signOff=true,41,0,2
1759389054392,115,/cgi-bin/reservations.pl-86,200,OK,Thread Group 1-2,text,true,,4520,701,2,2,http://192.168.1.6:1080/cgi-bin/reservations.pl,112,0,0
1759389053805,695,FlightBooking,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-2,,true,,20218,5382,2,2,null,675,7,0
1759389054490,91,/cgi-bin/nav.pl-6,200,OK,Thread Group 1-3,text,true,,1751,459,2,2,http://192.168.1.6:1080/cgi-bin/nav.pl?in=home,88,0,0
1759389054508,85,/cgi-bin/welcome.pl-87,200,OK,Thread Group 1-2,text,true,,1025,581,2,2,http://192.168.1.6:1080/cgi-bin/welcome.pl?signOff=1,83,0,0
1759389054583,104,/cgi-bin/login.pl-51,200,OK,Thread Group 1-3,text,true,,901,665,2,2,http://192.168.1.6:1080/cgi-bin/login.pl,102,0,0
1759389054594,95,/cgi-bin/nav.pl-88,200,OK,Thread Group 1-2,text,true,,1751,456,2,2,http://192.168.1.6:1080/cgi-bin/nav.pl?in=home,92,0,0
1759389054508,180,SignOff_WebTours,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,2776,1037,2,2,null,175,1,0
1759389054688,92,/cgi-bin/nav.pl-53,200,OK,Thread Group 1-3,text,true,,1749,614,1,1,http://192.168.1.6:1080/cgi-bin/nav.pl?page=menu&in=home,90,0,0
